day,hour,temperature
1,0,12.2
1,100,11.7
1,200,11.9
1,300,12.3
1,400,12.6
1,500,13.1
1,600,13
1,700,13
1,800,13.1
1,900,13.3
1,1000,12.8
1,1100,12.8
1,1200,12.8
1,1300,12.8
1,1400,12.5
1,1500,12.1
1,1600,11.9
1,1700,11.8
1,1800,11.3
1,1900,11.1
1,2000,10
1,2100,9.6
1,2200,10
1,2300,9.8
2,0,11.6
2,100,14.1
2,200,15.4
2,300,16.4
2,400,16.299999
2,500,16.700001
2,600,15.8
2,700,14.6
2,800,13.1
2,900,12.1
2,1000,11.3
2,1100,9.5
2,1200,9.1
2,1300,8.6
2,1400,8.1
2,1500,8.1
2,1600,7.8
2,1700,8
2,1800,7.8
2,1900,6.5
2,2000,5.5
2,2100,5.1
2,2200,5.7
2,2300,6.9
3,0,8
3,100,7.8
3,200,8.3
3,300,8.6
3,400,8.3
3,500,7.7
3,600,7.4
3,700,6.9
3,800,6.5
3,900,6.3
3,1000,5.9
3,1100,5.6
3,1200,5.3
3,1300,4.8
3,1400,4.2
3,1500,4
3,1600,3.2
3,1700,2.4
3,1800,2.2
3,1900,1.5
3,2000,1
3,2100,1
3,2200,2.9
3,2300,4.1
4,0,6.5
4,100,7.6
4,200,8.7
4,300,10.1
4,400,10.3
4,500,11
4,600,10.6
4,700,9.6
4,800,8.3
4,900,7.5
4,1000,6.9
4,1100,6
4,1200,5.1
4,1300,4.1
4,1400,3.6
4,1500,2.2
4,1600,2.4
4,1700,1.8
4,1800,1.1
4,1900,1.1
4,2000,1.5
4,2100,1.2
4,2200,2.6
4,2300,3.9
5,0,6.9
5,100,9.2
5,200,12.3
5,300,13.5
5,400,14.3
5,500,15
5,600,15
5,700,14.3
5,800,13.8
5,900,12.6
5,1000,12.6
5,1100,12
5,1200,11.3
5,1300,11.2
5,1400,10.5
5,1500,10.5
5,1600,10.3
5,1700,10.3
5,1800,9.8
5,1900,9.8
5,2000,9.5
5,2100,9.9
5,2200,10.3
5,2300,10.8
6,0,12.1
6,100,12.5
6,200,13.8
6,300,14.5
6,400,14.8
6,500,14.5
6,600,14.8
6,700,14.6
6,800,14.1
6,900,14.1
6,1000,13.8
6,1100,13.7
6,1200,13.5
6,1300,13.1
6,1400,12.6
6,1500,12.5
6,1600,11.8
6,1700,12.1
6,1800,11.6
6,1900,11.5
6,2000,11.4
6,2100,11.4
6,2200,12.5
6,2300,14.5
7,0,15.6
7,100,17.1
7,200,19.299999
7,300,17.799999
7,400,18.299999
7,500,18.6
7,600,18
7,700,16.700001
7,800,15.6
7,900,14.7
7,1000,13.2
7,1100,12.1
7,1200,11.3
7,1300,10.6
7,1400,10
7,1500,9.5
7,1600,10.1
7,1700,9.8
7,1800,9.1
7,1900,8.2
7,2000,7.9
7,2100,7.5
7,2200,9.1
7,2300,11.6
8,0,13
8,100,13.3
8,200,13.1
8,300,13.6
